# wl(mum) ecs(mum2) scs(mum2)
7.059999999999999609e-01 1.832179999999999920e+00 1.832179999999999920e+00
7.107999999999999874e-01 1.808529999999999971e+00 1.808529999999999971e+00
7.156000000000000139e-01 1.785090000000000066e+00 1.785090000000000066e+00
7.203999999999999293e-01 1.761900000000000022e+00 1.761900000000000022e+00
7.252000000000000668e-01 1.738979999999999970e+00 1.738979999999999970e+00
7.299999999999999822e-01 1.716380000000000017e+00 1.716380000000000017e+00
7.348000000000000087e-01 1.694129999999999914e+00 1.694129999999999914e+00
7.396000000000000352e-01 1.672290000000000054e+00 1.672290000000000054e+00
7.443999999999999506e-01 1.650870000000000060e+00 1.650870000000000060e+00
7.492000000000000881e-01 1.629909999999999970e+00 1.629909999999999970e+00
7.540000000000000036e-01 1.609420000000000073e+00 1.609420000000000073e+00
7.587999999999999190e-01 1.589390000000000081e+00 1.589390000000000081e+00
7.636000000000000565e-01 1.569839999999999902e+00 1.569839999999999902e+00
7.683999999999999719e-01 1.550750000000000073e+00 1.550750000000000073e+00
7.731999999999999984e-01 1.532100000000000017e+00 1.532100000000000017e+00
7.780000000000000249e-01 1.513889999999999958e+00 1.513889999999999958e+00
7.827999999999999403e-01 1.496099999999999985e+00 1.496099999999999985e+00
7.876000000000000778e-01 1.478709999999999969e+00 1.478709999999999969e+00
7.923999999999999932e-01 1.461699999999999999e+00 1.461699999999999999e+00
7.972000000000000197e-01 1.445060000000000011e+00 1.445060000000000011e+00
8.020000000000000462e-01 1.428770000000000095e+00 1.428770000000000095e+00
8.067999999999999616e-01 1.412809999999999899e+00 1.412809999999999899e+00
8.115999999999999881e-01 1.397170000000000023e+00 1.397170000000000023e+00
8.164000000000000146e-01 1.381809999999999983e+00 1.381809999999999983e+00
8.212000000000000410e-01 1.366710000000000091e+00 1.366710000000000091e+00
8.259999999999999565e-01 1.351860000000000062e+00 1.351860000000000062e+00
8.307999999999999829e-01 1.337229999999999919e+00 1.337229999999999919e+00
8.356000000000000094e-01 1.322799999999999976e+00 1.322799999999999976e+00
8.403999999999999249e-01 1.308550000000000102e+00 1.308550000000000102e+00
8.452000000000000624e-01 1.294459999999999944e+00 1.294459999999999944e+00
8.499999999999999778e-01 1.280510000000000037e+00 1.280510000000000037e+00
