# wl(mum) ecs(mum2) scs(mum2)
4.979999999999999982e-01 1.835369999999999946e+00 1.835369999999999946e+00
5.020000000000000018e-01 1.840390000000000192e+00 1.840390000000000192e+00
5.060000000000000053e-01 1.842950000000000088e+00 1.842950000000000088e+00
5.100000000000000089e-01 1.845490000000000075e+00 1.845490000000000075e+00
5.140000000000000124e-01 1.849910000000000165e+00 1.849910000000000165e+00
5.180000000000000160e-01 1.857299999999999951e+00 1.857299999999999951e+00
5.220000000000000195e-01 1.868090000000000028e+00 1.868090000000000028e+00
5.260000000000000231e-01 1.882339999999999902e+00 1.882339999999999902e+00
5.300000000000000266e-01 1.900009999999999977e+00 1.900009999999999977e+00
5.340000000000000302e-01 1.920869999999999855e+00 1.920869999999999855e+00
5.380000000000000338e-01 1.944479999999999986e+00 1.944479999999999986e+00
5.420000000000000373e-01 1.970150000000000068e+00 1.970150000000000068e+00
5.460000000000000409e-01 1.997099999999999875e+00 1.997099999999999875e+00
5.500000000000000444e-01 2.024579999999999824e+00 2.024579999999999824e+00
5.560000000000000497e-01 2.064900000000000180e+00 2.064900000000000180e+00
5.620000000000000551e-01 2.105380000000000251e+00 2.105380000000000251e+00
5.679999999999999494e-01 2.141420000000000101e+00 2.141420000000000101e+00
5.739999999999999547e-01 2.169820000000000082e+00 2.169820000000000082e+00
5.799999999999999600e-01 2.188280000000000225e+00 2.188280000000000225e+00
5.859999999999999654e-01 2.196050000000000058e+00 2.196050000000000058e+00
5.919999999999999707e-01 2.194080000000000030e+00 2.194080000000000030e+00
5.979999999999999760e-01 2.184690000000000243e+00 2.184690000000000243e+00
6.039999999999999813e-01 2.170900000000000052e+00 2.170900000000000052e+00
6.099999999999999867e-01 2.155739999999999768e+00 2.155739999999999768e+00
6.159999999999999920e-01 2.141659999999999897e+00 2.141659999999999897e+00
6.219999999999999973e-01 2.130250000000000199e+00 2.130250000000000199e+00
6.280000000000000027e-01 2.122160000000000046e+00 2.122160000000000046e+00
6.340000000000000080e-01 2.117360000000000131e+00 2.117360000000000131e+00
6.400000000000000133e-01 2.115359999999999907e+00 2.115359999999999907e+00
6.460000000000000187e-01 2.115569999999999951e+00 2.115569999999999951e+00
6.520000000000000240e-01 2.117459999999999898e+00 2.117459999999999898e+00
6.580000000000000293e-01 2.120589999999999975e+00 2.120589999999999975e+00
6.640000000000000346e-01 2.124619999999999731e+00 2.124619999999999731e+00
6.700000000000000400e-01 2.129199999999999982e+00 2.129199999999999982e+00
6.760000000000000453e-01 2.133890000000000065e+00 2.133890000000000065e+00
6.820000000000000506e-01 2.138160000000000061e+00 2.138160000000000061e+00
6.879999999999999449e-01 2.141420000000000101e+00 2.141420000000000101e+00
6.939999999999999503e-01 2.143059999999999743e+00 2.143059999999999743e+00
6.999999999999999556e-01 2.142539999999999889e+00 2.142539999999999889e+00
7.059999999999999609e-01 2.139520000000000088e+00 2.139520000000000088e+00
7.119999999999999662e-01 2.133809999999999985e+00 2.133809999999999985e+00
7.179999999999999716e-01 2.125440000000000218e+00 2.125440000000000218e+00
7.239999999999999769e-01 2.114650000000000141e+00 2.114650000000000141e+00
7.299999999999999822e-01 2.101789999999999825e+00 2.101789999999999825e+00
7.359999999999999876e-01 2.087309999999999999e+00 2.087309999999999999e+00
7.419999999999999929e-01 2.071720000000000006e+00 2.071720000000000006e+00
7.479999999999999982e-01 2.055489999999999817e+00 2.055489999999999817e+00
7.540000000000000036e-01 2.039060000000000095e+00 2.039060000000000095e+00
7.600000000000000089e-01 2.022780000000000022e+00 2.022780000000000022e+00
7.660000000000000142e-01 2.006940000000000168e+00 2.006940000000000168e+00
7.720000000000000195e-01 1.991730000000000000e+00 1.991730000000000000e+00
7.780000000000000249e-01 1.977249999999999952e+00 1.977249999999999952e+00
7.840000000000000302e-01 1.963549999999999907e+00 1.963549999999999907e+00
7.900000000000000355e-01 1.950599999999999890e+00 1.950599999999999890e+00
7.960000000000000409e-01 1.938350000000000017e+00 1.938350000000000017e+00
8.020000000000000462e-01 1.926700000000000079e+00 1.926700000000000079e+00
8.080000000000000515e-01 1.915549999999999864e+00 1.915549999999999864e+00
8.139999999999999458e-01 1.904800000000000049e+00 1.904800000000000049e+00
8.199999999999999512e-01 1.894320000000000004e+00 1.894320000000000004e+00
8.259999999999999565e-01 1.884029999999999871e+00 1.884029999999999871e+00
8.319999999999999618e-01 1.873820000000000041e+00 1.873820000000000041e+00
8.379999999999999671e-01 1.863619999999999832e+00 1.863619999999999832e+00
8.439999999999999725e-01 1.853349999999999831e+00 1.853349999999999831e+00
8.499999999999999778e-01 1.842940000000000023e+00 1.842940000000000023e+00
