# wl(mum) ecs(mum2) scs(mum2)
7.636000000000000565e-01 1.639669999999999961e+00 1.639669999999999961e+00
7.683999999999999719e-01 1.629380000000000051e+00 1.629380000000000051e+00
7.731999999999999984e-01 1.618980000000000086e+00 1.618980000000000086e+00
7.780000000000000249e-01 1.608500000000000041e+00 1.608500000000000041e+00
7.827999999999999403e-01 1.597960000000000047e+00 1.597960000000000047e+00
7.876000000000000778e-01 1.587360000000000104e+00 1.587360000000000104e+00
7.923999999999999932e-01 1.576719999999999899e+00 1.576719999999999899e+00
7.972000000000000197e-01 1.566060000000000008e+00 1.566060000000000008e+00
8.020000000000000462e-01 1.555360000000000076e+00 1.555360000000000076e+00
8.067999999999999616e-01 1.544620000000000104e+00 1.544620000000000104e+00
8.115999999999999881e-01 1.533830000000000027e+00 1.533830000000000027e+00
8.164000000000000146e-01 1.522990000000000066e+00 1.522990000000000066e+00
8.212000000000000410e-01 1.512080000000000091e+00 1.512080000000000091e+00
8.259999999999999565e-01 1.501079999999999970e+00 1.501079999999999970e+00
8.307999999999999829e-01 1.489999999999999991e+00 1.489999999999999991e+00
8.356000000000000094e-01 1.478820000000000023e+00 1.478820000000000023e+00
8.403999999999999249e-01 1.467540000000000067e+00 1.467540000000000067e+00
8.452000000000000624e-01 1.456139999999999990e+00 1.456139999999999990e+00
8.499999999999999778e-01 1.444639999999999924e+00 1.444639999999999924e+00
