% Model:              2Au_spheres_on_silicon_wl_dsweep_2nmgap_400nm_500nm.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 7 2021, 08:52
% Table:              Result - Global Evaluation 1 (sigma_ext, sigma_abs, sigma_sc)
% wl (nm)                                         d_gsp (nm)                                        freq (GHz)                                        Wavelength (nm), Point: 47                        Electric field norm (V/m), Point: 47              Electric field norm (V/m), Point: 47              Electric field norm (V/m), Point: 47              ewfd2.normE / ewfd3.normE (1), Point: 47          Extinction cross section (um^2)                   Absorption cross section (um^2)                   Scattering cross section (um^2)
574.9999999999999                                 4.999999999999999                                 521378.18782608694                                574.9999999999999                                 2.816746704111229E7                               1.0467512413550061E9                              3.475122402766198E7                               30.121276894356065                                0.02045377977399366                               0.013516873704279167                              0.006936906069714492
574.9999999999999                                 9.999999999999998                                 521378.18782608694                                574.9999999999999                                 2.818083344852342E7                               5.176082743332586E8                               3.475140792553291E7                               14.894598671870103                                0.02407873594232496                               0.014552037822929364                              0.009526698119395601
574.9999999999999                                 19.999999999999996                                521378.18782608694                                574.9999999999999                                 2.8172817408218876E7                              2.499990454010032E8                               3.475718375325761E7                               7.1927302043731345                                0.0208921474092817                                0.012231987013985401                              0.008660160395296296
574.9999999999999                                 50                                                521378.18782608694                                574.9999999999999                                 2.8193001100105595E7                              9.130690421937087E7                               3.477649461462582E7                               2.6255350124037595                                0.01533966391158804                               0.009245514398572687                              0.006094149513015354
625                                               1.9999999999999998                                479667.93279999995                                625                                               2.5096753988453496E7                              2.8501919672153435E9                              3.2388608484777573E7                              87.99982773433797                                 0.01141228532869856                               0.005927668350665904                              0.005484616978032654
625                                               4.999999999999999                                 479667.93279999995                                625                                               2.5097111140991766E7                              1.2613607681488564E9                              3.23920764741361E7                                38.940410910551144                                0.02321944955639164                               0.008917086310983558                              0.014302363245408086
625                                               9.999999999999998                                 479667.93279999995                                625                                               2.5100422708569944E7                              5.27973367312802E8                                3.2399029838553302E7                              16.295962253923385                                0.015198487212998432                              0.005282834247811322                              0.00991565296518711
625                                               19.999999999999996                                479667.93279999995                                625                                               2.50999615309612E7                                2.0699996574493712E8                              3.2393630617260363E7                              6.390144043768929                                 0.007807634199418483                              0.0026748546184406662                             0.005132779580977817
625                                               50                                                479667.93279999995                                625                                               2.510795106997821E7                               7.089393456343707E7                               3.2397255864873335E7                              2.1882697367681594                                0.004060528213065063                              0.0016041021036046093                             0.0024564261094604536
674.9999999999999                                 1.9999999999999998                                444136.97481481486                                674.9999999999999                                 2.2625647016123205E7                              4.680221009355504E9                               3.0320539196272343E7                              154.35810620184807                                0.03099383192247943                               0.009532614138295627                              0.021461217784183806
674.9999999999999                                 4.999999999999999                                 444136.97481481486                                674.9999999999999                                 2.262570461172928E7                               1.0347808795686318E9                              3.032220444129107E7                               34.12617580532916                                 0.012428005541130322                              0.0030073769611468552                             0.009420628579983466
674.9999999999999                                 9.999999999999998                                 444136.97481481486                                674.9999999999999                                 2.262883973274727E7                               3.697805776149606E8                               3.0324106763510823E7                              12.194277658325612                                0.005582319580103352                              0.0012720687271624922                             0.00431025085294086
674.9999999999999                                 19.999999999999996                                444136.97481481486                                674.9999999999999                                 2.2628151556117237E7                              1.5391848364250755E8                              3.0326459964312468E7                              5.075385779403054                                 0.003052050822307917                              7.146279767249932E-4                              0.0023374228455829236
674.9999999999999                                 50                                                444136.97481481486                                674.9999999999999                                 2.2630809407579187E7                              5.748146203469475E7                               3.0334517201564644E7                              1.8949192978001272                                0.001747331262417756                              4.738247081251692E-4                              0.0012735065542925866
725                                               1.9999999999999998                                413506.83862068964                                724.9999999999999                                 2.0606165677568942E7                              3.096043618138277E9                               2.8508381899453785E7                              108.60116961592958                                0.015632582286859556                              0.003972645165509131                              0.011659937121350425
725                                               4.999999999999999                                 413506.83862068964                                724.9999999999999                                 2.060845131224579E7                               6.525644940907162E8                               2.851157973336204E7                               22.88770037274139                                 0.004758502403458805                              0.0010195161148608507                             0.003738986288597954
725                                               9.999999999999998                                 413506.83862068964                                724.9999999999999                                 2.0604680354629174E7                              2.6465658863836664E8                              2.8513722511345107E7                              9.28172701873859                                  0.0025773328182589054                             5.412138675848626E-4                              0.002036118950674043
725                                               19.999999999999996                                413506.83862068964                                724.9999999999999                                 2.0608072964941576E7                              1.2033179625252727E8                              2.8510588964158908E7                              4.220600156797819                                 0.0016167235289140285                             3.5007530708201074E-4                             0.0012666482218320178
725                                               50                                                413506.83862068964                                724.9999999999999                                 2.0612391194053847E7                              4.864263045262454E7                               2.852050623923899E7                               1.7055318038394842                                0.001013247462075337                              2.536137329586545E-4                              7.596337291166825E-4
775                                               1.9999999999999998                                386828.97806451615                                775                                               1.8871146848898806E7                              1.7893477180763812E9                              2.6896756871716805E7                              66.5265231273278                                  0.005795716536872308                              0.0014007975960520997                             0.0043949189408202085
775                                               4.999999999999999                                 386828.97806451615                                775                                               1.8905897815124E7                                 4.6931731145200026E8                              2.6898271108415443E7                              17.447861595281815                                0.0024146155374711745                             5.207012055240434E-4                              0.0018939143319471313
775                                               9.999999999999998                                 386828.97806451615                                775                                               1.889066410679291E7                               2.0592362455530816E8                              2.689876382484824E7                               7.655505133848655                                 0.0014830661163899867                             3.154605547826405E-4                              0.001167605561607346
775                                               19.999999999999996                                386828.97806451615                                775                                               1.8885398143834796E7                              9.97564892655616E7                                2.690067921140359E7                               3.708326041941475                                 9.914777329556995E-4                              2.2184524066611247E-4                             7.696324922895873E-4
775                                               50                                                386828.97806451615                                775                                               1.888995746194738E7                               4.217157623480929E7                               2.690535485813684E7                               1.5674045727018378                                6.67455205330776E-4                               1.703262597125305E-4                              4.971289456182454E-4
