# wl(mum) ecs(mum2) scs(mum2)
6.147999999999999021e-01 1.632169999999999899e+00 1.632169999999999899e+00
6.196000000000000396e-01 1.682050000000000045e+00 1.682050000000000045e+00
6.243999999999999551e-01 1.727470000000000061e+00 1.727470000000000061e+00
6.292000000000000925e-01 1.768890000000000073e+00 1.768890000000000073e+00
6.340000000000000080e-01 1.806999999999999940e+00 1.806999999999999940e+00
6.387999999999999234e-01 1.842510000000000092e+00 1.842510000000000092e+00
6.436000000000000609e-01 1.876149999999999984e+00 1.876149999999999984e+00
6.483999999999999764e-01 1.908570000000000100e+00 1.908570000000000100e+00
6.532000000000000028e-01 1.940339999999999954e+00 1.940339999999999954e+00
6.580000000000000293e-01 1.971880000000000077e+00 1.971880000000000077e+00
6.627999999999999448e-01 2.003460000000000019e+00 2.003460000000000019e+00
6.675999999999999712e-01 2.035149999999999793e+00 2.035149999999999793e+00
6.723999999999999977e-01 2.066840000000000011e+00 2.066840000000000011e+00
6.772000000000000242e-01 2.098219999999999974e+00 2.098219999999999974e+00
6.820000000000000506e-01 2.128849999999999909e+00 2.128849999999999909e+00
6.867999999999999661e-01 2.158240000000000158e+00 2.158240000000000158e+00
6.915999999999999925e-01 2.185880000000000045e+00 2.185880000000000045e+00
6.964000000000000190e-01 2.211370000000000058e+00 2.211370000000000058e+00
7.012000000000000455e-01 2.234449999999999825e+00 2.234449999999999825e+00
7.059999999999999609e-01 2.255009999999999959e+00 2.255009999999999959e+00
7.107999999999999874e-01 2.273109999999999964e+00 2.273109999999999964e+00
7.156000000000000139e-01 2.288949999999999818e+00 2.288949999999999818e+00
7.203999999999999293e-01 2.302849999999999842e+00 2.302849999999999842e+00
7.252000000000000668e-01 2.315179999999999794e+00 2.315179999999999794e+00
7.299999999999999822e-01 2.326330000000000009e+00 2.326330000000000009e+00
7.348000000000000087e-01 2.336679999999999868e+00 2.336679999999999868e+00
7.396000000000000352e-01 2.346579999999999888e+00 2.346579999999999888e+00
7.443999999999999506e-01 2.356300000000000061e+00 2.356300000000000061e+00
7.492000000000000881e-01 2.366080000000000183e+00 2.366080000000000183e+00
7.540000000000000036e-01 2.376059999999999839e+00 2.376059999999999839e+00
7.587999999999999190e-01 2.386330000000000062e+00 2.386330000000000062e+00
7.636000000000000565e-01 2.396879999999999900e+00 2.396879999999999900e+00
7.683999999999999719e-01 2.407649999999999846e+00 2.407649999999999846e+00
7.731999999999999984e-01 2.418520000000000003e+00 2.418520000000000003e+00
7.780000000000000249e-01 2.429289999999999949e+00 2.429289999999999949e+00
7.827999999999999403e-01 2.439719999999999889e+00 2.439719999999999889e+00
7.876000000000000778e-01 2.449549999999999894e+00 2.449549999999999894e+00
7.923999999999999932e-01 2.458460000000000090e+00 2.458460000000000090e+00
7.972000000000000197e-01 2.466149999999999842e+00 2.466149999999999842e+00
8.020000000000000462e-01 2.472329999999999917e+00 2.472329999999999917e+00
8.067999999999999616e-01 2.476729999999999876e+00 2.476729999999999876e+00
8.115999999999999881e-01 2.479119999999999990e+00 2.479119999999999990e+00
8.164000000000000146e-01 2.479350000000000165e+00 2.479350000000000165e+00
8.212000000000000410e-01 2.477320000000000189e+00 2.477320000000000189e+00
8.259999999999999565e-01 2.472999999999999865e+00 2.472999999999999865e+00
8.307999999999999829e-01 2.466450000000000031e+00 2.466450000000000031e+00
8.356000000000000094e-01 2.457809999999999828e+00 2.457809999999999828e+00
8.403999999999999249e-01 2.447249999999999925e+00 2.447249999999999925e+00
8.452000000000000624e-01 2.435049999999999937e+00 2.435049999999999937e+00
8.499999999999999778e-01 2.421479999999999855e+00 2.421479999999999855e+00
